rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XP01:Q014::::19,60:284:21,2:TECN:SUPPOR_UFF::ARE.:BIBLIOM
TO_CEN03:XP01:Q016::::33,88:245:26,4:UFF:UFF_TEC_AM::ARE.:BIBLIOM
TO_CEN03:XP01:Q017::::317,69:298:78,5:STUD:BIBLIO:L120:ARE.:BIBLIOM
TO_CEN03:XP01:Q018::::26,24::22,1:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XP01:Q019::::22,77::23,6:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XP01:Q020::::40,62::28,0:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XP01:Q021::::1,19::4,5:SERV:MAGAZ::ATU.:ATENEO
TO_CEN03:XP01:U003::::113,69::61,0:VERT:RAMPA_C::ATU.:AMM
TO_CEN03:XPTE:A001:45,0628540000000000:7,6612320000000000:Atrio Sala Consiglio di Facoltà:257,02:445:106,6:SUPP:LOC_MULT::ATU.:ATENEO
TO_CEN03:XPTE:A002:45,0629080000000000:7,6610670000000000:Sala Consiglio di Facoltà:304,31::77,1:SUPP:S_RIUN:L200:ATU.:ATENEO
TO_CEN03:XPTE:A003::::13,58:360:15,1:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:A004::::9,49:360:15,1:SERV:WC::ATU.:ATENEO
TO_CEN03:XPTE:A005::::11,62::17,5:SERV:WC::ATU.:ATENEO
TO_CEN03:XPTE:A006::::9,88:360:12,8:SERV:ATRIO::ATU.:ATENEO
TO_CEN03:XPTE:A007::::12,26::15,8:SERV:CORRID::ATU.:AMM
TO_CEN03:XPTE:A008::::3,74::8,1:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:A009::::5,89::9,7:SERV:CEN_TELEF::ATU.:AMM
TO_CEN03:XPTE:A010::::12,85::16,6:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:A011::::22,64::19,1:VERT:SCALA::ATU.:AMM
TO_CEN03:XPTE:A012::::22,19::18,9:VERT:SCALA::ATU.:AMM
TO_CEN03:XPTE:A013::::22,13::18,7:SERV:ATRIO::ATU.:AMM
TO_CEN03:XPTE:A014::::3,06:360:7,0:SERV:WC_H::ATU.:ATENEO
TO_CEN03:XPTE:A015::::2,35::6,5:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XPTE:A016::::1,76::5,4:UFF:UFF_TEC_AM::ATU.:AMM
TO_CEN03:XPTE:A017::::256,31::111,1:EST:SCALA_EST::ATU.:ATENEO
TO_CEN03:XPTE:A147::::3,86::7,9:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XPTE:B000::::9,02::13,3:SERV:CORRID::DIP.:DISAT
TO_CEN03:XPTE:B001:45,0633340000000000:7,6613220000000000:Aula DIFIS 1:49,77::29,9:AULA:AULA:L60:DIP.:DISAT
